season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,Unnamed: 19,sixesConceded,wides,noballs,captain,href,maiden_ratio,econ_rate
2020.0,1216492.0,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1.0,DL Chahar,Deepak Chahar,4.0,1.0,32.0,2.0,8,7.0,3.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/447261.html,0.25,8.0
2020.0,1216492.0,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1.0,SM Curran,Sam Curran,4.0,1.0,28.0,1.0,7,9.0,4.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/662973.html,0.25,7.0
2020.0,1216492.0,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1.0,L Ngidi,Lungi Ngidi,4.0,1.0,38.0,3.0,9.5,8.0,6.0,,1.0,2.0,1.0,False,https://www.espncricinfo.com/ci/content/player/542023.html,0.25,9.5
2020.0,1216492.0,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1.0,PP Chawla,Piyush Chawla,4.0,1.0,21.0,1.0,5.25,11.0,3.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/32966.html,0.25,5.25
2020.0,1216492.0,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1.0,RA Jadeja,Ravindra Jadeja,4.0,1.0,42.0,2.0,10.5,5.0,2.0,,3.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/234675.html,0.25,10.5
2020.0,1216492.0,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2.0,TA Boult,Trent Boult,3.2,1.0,23.0,1.0,6.9,12.0,5.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/277912.html,0.3125,7.1875
2020.0,1216492.0,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2.0,JL Pattinson,James Pattinson,4.0,1.0,27.0,1.0,6.75,10.0,3.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/272465.html,0.25,6.75
2020.0,1216492.0,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2.0,JJ Bumrah,Jasprit Bumrah,4.0,1.0,43.0,1.0,10.75,10.0,4.0,,2.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/625383.html,0.25,10.75
2020.0,1216492.0,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2.0,KH Pandya,Krunal Pandya,4.0,1.0,37.0,1.0,9.25,2.0,1.0,,2.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/471342.html,0.25,9.25
2020.0,1216492.0,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2.0,RD Chahar,Rahul Chahar,4.0,1.0,36.0,1.0,9,2.0,3.0,,1.0,1.0,1.0,False,https://www.espncricinfo.com/ci/content/player/1064812.html,0.25,9.0
